Rank,Query,Clicks,Impressions,CTR,Position
145,astaghfirullah al azeem hadith,1,12,8.33%,4.166666667
146,astaghfirullah al azim,1,191,0.52%,5.811518325
147,astaghfirullah al azim in arabic,1,37,2.70%,7.594594595
148,astaghfirullah azeem,1,32,3.13%,4.3125
149,astaghfirullah hal azeem,1,14,7.14%,3.714285714
150,astaghfirullah hal azim in arabic,1,7,14.29%,6.571428571
151,astaghfirullah wa atubu ilaih in arabic text,1,13,7.69%,7.769230769
152,attahiyat,1,269,0.37%,7.483271375
153,attahiyat and durood,1,4,25.00%,6.25
154,attahiyat dua,1,19,5.26%,8.578947368
155,attahiyat dua in namaz,1,9,11.11%,6.777777778
156,attahiyat full dua,1,392,0.26%,8.701530612
157,attahiyat full dua in arabic,1,66,1.52%,8.939393939
158,attahiyat full dua in english,1,97,1.03%,8.75257732
159,attahiyat last dua allahummaghfirli,1,27,3.70%,9.740740741
160,attahiyatul mubarakatus solawatut taiyibatu lillah,1,2,50.00%,10
161,auzubillah,1,106,0.94%,12.0754717
162,auzubillah minashaitan nirajeem full dua,1,17,5.88%,7.647058824
163,azan time,1,4184,0.02%,9.727055449
164,azan time lahore sunni,1,1,100.00%,14
165,azan time qatar,1,3,33.33%,22.66666667
166,azan time salalah,1,264,0.38%,5.901515152
167,azan today,1,70,1.43%,13
168,barakallah dua for marriage,1,79,1.27%,8.936708861
169,barakallahu for wedding,1,6,16.67%,7.5
170,barakallahu wedding wishes in arabic,1,108,0.93%,10.06481481
171,bipod theke muktir dua,1,1,100.00%,4
172,birahmatika astaghees dua,1,10,10.00%,5.9
173,bismillah arqi nafsi,1,2,50.00%,4.5
174,bismillah dua,1,3,33.33%,7
175,bismillah e arqika,1,26,3.85%,6.153846154
176,bismillahi allahu akbar,1,36,2.78%,7.111111111
177,bismillahi arki nafsi,1,24,4.17%,7.666666667
178,condolence dua,1,1,100.00%,11
179,dua after a bad dream,1,25,4.00%,8.64
180,dua after attahiyat,1,176,0.57%,7.215909091
181,dua after attahiyat and durood,1,180,0.56%,8.438888889
182,dua after durood transliteration,1,5,20.00%,6.8
183,dua after rising from ruku,1,4,25.00%,11.75
184,dua after wudu,1,697,0.14%,8.30989957
185,dua after wudu in english,1,66,1.52%,9.575757576
186,dua allahumma inni auzubika,1,5,20.00%,4.8
187,dua allahummaghfirli warhamni,1,23,4.35%,7.304347826
188,dua astagfirullah,1,55,1.82%,7.090909091
189,dua at safa marwa,1,41,2.44%,8.195121951
190,dua e isme azam,1,1,100.00%,17
191,dua for a new born,1,18,5.56%,10.5
192,dua for baby boy,1,61,1.64%,9.442622951
193,dua for bad dreams,1,53,1.89%,9.509433962
194,dua for bad neighbors to move,1,4,25.00%,10.25
195,dua for bathing,1,16,6.25%,7.1875
196,dua for congratulating new parents,1,20,5.00%,8
197,dua for deen,1,2,50.00%,3
198,dua for eczema,1,57,1.75%,9.421052632
199,dua for enemies,1,38,2.63%,8.921052632
200,dua for good manners,1,19,5.26%,4.526315789
201,dua for heavy rain,1,61,1.64%,9.672131148
202,dua for jannah,1,136,0.74%,8.176470588
203,dua for leaving toilet in english,1,10,10.00%,7.8
204,dua for major sins,1,21,4.76%,9.80952381
205,dua for martyrdom,1,10,10.00%,8
206,dua for martyrs in arabic,1,10,10.00%,7.5
207,dua for new baby boy,1,25,4.00%,9.28
208,dua for new born baby boy in arabic,1,11,9.09%,8.636363636
209,dua for new born baby in arabic,1,79,1.27%,7.658227848
210,dua for new born baby protection,1,74,1.35%,11.2972973
211,dua for new clothes,1,773,0.13%,7.368693402
212,dua for new parents,1,56,1.79%,8.875
213,dua for newborn baby,1,49,2.04%,11.63265306
214,dua for newborn in arabic,1,8,12.50%,7.875
215,dua for newly born baby,1,18,5.56%,9.055555556
216,dua for parents of new born baby,1,4,25.00%,9.25
217,dua for protection from insect bites,1,16,6.25%,7.0625
218,dua for protection from shaitan and jinn,1,29,3.45%,10.62068966
219,dua for protection from shaitan whispers,1,20,5.00%,7.35
220,dua for psoriasis,1,11,9.09%,5.727272727
221,dua for rain stop,1,3,33.33%,7.666666667
222,dua for relief,1,3,33.33%,10
223,dua for ruqya,1,11,9.09%,10.63636364
224,dua for safa and marwa,1,44,2.27%,8.272727273
225,dua for safa and marwa in arabic,1,2,50.00%,10
226,dua for sex,1,695,0.14%,9.71942446
227,dua for someone's safe journey,1,6,16.67%,10.66666667
228,dua for stop rain,1,21,4.76%,7
229,dua for wishing someone a safe journey,1,5,20.00%,12
230,dua for women janaza,1,5,20.00%,8.2
231,dua janaza male,1,68,1.47%,5.073529412
232,dua leaving home arabic,1,3,33.33%,9.666666667
233,dua masora,1,30,3.33%,4.6
234,dua masura translation,1,1,100.00%,8
235,dua namaz e janaza in arabic,1,13,7.69%,4.615384615
236,dua newborn,1,14,7.14%,10.64285714
237,dua of hazrat ibrahim for son,1,2,50.00%,6
238,dua of janazah,1,2,50.00%,6
239,dua on safa and marwa,1,9,11.11%,9.555555556
240,dua qabr,1,2,50.00%,7.5
241,dua qul huwallahu ahad,1,5,20.00%,7.4
242,dua to destroy enemies,1,9,11.11%,9.222222222
243,dua to die in madinah,1,14,7.14%,8.928571429
244,dua to relieve pain in body,1,42,2.38%,11.83333333
245,dua to remove hatred from heart,1,13,7.69%,9.076923077
246,dua when leaving the toilet transliteration,1,274,0.36%,8.02919708
247,dua when seeing janaza,1,2,50.00%,10.5
248,dua when undressing,1,6,16.67%,9.833333333
249,dua with isme azam,1,6,16.67%,4.333333333
250,dua ya hayyu ya qayyum birahmatika,1,9,11.11%,5.777777778
251,dua ya hayyu ya qayyum birahmatika astaghees,1,40,2.50%,7.1
252,dua yunus,1,14,7.14%,45.21428571
253,duaa after wudu,1,6,16.67%,8.333333333
254,duha prayer time,1,305,0.33%,9.770491803
255,duha time lahore,1,3,33.33%,8.666666667
256,dunedin prayer times,1,31,3.23%,5.64516129
257,elhamdulillah ala kulli hal,1,4,25.00%,8.75
258,elhamdülillâh dua,1,11,9.09%,7.454545455
259,evening azkar hisnul muslim,1,15,6.67%,9.733333333
260,fajr london uk,1,1,100.00%,27
261,fajr prayer time mombasa,1,66,1.52%,9.621212121
262,fajr time end in jaipur,1,196,0.51%,8.923469388
263,fajr time imphal,1,71,1.41%,7.169014085
264,fajr time in indianapolis,1,27,3.70%,5.444444444
265,fajr time in mauritius,1,263,0.38%,6.745247148
266,fajr time malta,1,80,1.25%,8.9125
267,fajr time phoenix,1,5,20.00%,7.2
268,fajr time today,1,224,0.45%,11.44642857
269,fajr time zamboanga city today,1,55,1.82%,7.672727273
270,finland prayer times,1,17,5.88%,11.76470588
271,fredericton prayer times,1,362,0.28%,8.417127072
272,full attahiyat,1,57,1.75%,9.070175439
273,gensan prayer times,1,19,5.26%,6.315789474
274,gufranak,1,17,5.88%,5.176470588
275,hasbi allah dua,1,91,1.10%,8.197802198
276,hasbiyallahu dua 7 times,1,4,25.00%,11
277,hearing a crow in islam,1,2,50.00%,26.5
278,how to become a raqi,1,9,11.11%,6.666666667
279,how to do ruqyah on water,1,57,1.75%,10.61403509
280,isha namaz time in lucknow,1,1,100.00%,6
281,isha prayer time pune,1,29,3.45%,6.137931034
282,isha time brisbane,1,293,0.34%,6.897610922
283,isha time pune today,1,24,4.17%,7.625
284,islamic condolences dua,1,147,0.68%,11.82993197
285,islamic prayer times near al wakrah,1,9,11.11%,8.666666667
286,ism azam dua,1,30,3.33%,6.033333333
287,isma azam dua,1,12,8.33%,4.916666667
288,isme azam dua in arabic,1,57,1.75%,9.701754386
289,isme azam dua transliteration,1,12,8.33%,3.75
290,janaza dua,1,384,0.26%,9.424479167
291,janaza dua for male and female,1,14,7.14%,10.14285714
292,janaze ki namaz ki dua english,1,28,3.57%,4.928571429
293,juma prayer time in salalah,1,23,4.35%,8.869565217
294,kuwait prayer time,1,29,3.45%,32.72413793
295,la ilaha halimul karim,1,5,20.00%,3.6
296,la ilaha illallah haleem ul kareem subhan allahi,1,1,100.00%,18
297,la ilaha illallah halimul karim,1,26,3.85%,5.230769231
298,la ilaha illallahul halimul karim,1,57,1.75%,3.719298246
299,ladies janaza dua,1,12,8.33%,2.916666667
300,live azan time,1,1,100.00%,16
301,maghrib adl time,1,2,50.00%,7
302,maghrib time georgetown,1,20,5.00%,7.95
303,maghrib time jaipur,1,186,0.54%,9.612903226
304,maghrib time pune today,1,133,0.75%,7.120300752
305,maghrib time regina today,1,22,4.55%,8
306,most powerful ism e azam,1,14,7.14%,11.21428571
307,most powerful ism e azam dua,1,115,0.87%,7.869565217
308,muslim prayer time in mauritius,1,13,7.69%,4.923076923
309,muslim prayer times,1,697,0.14%,11.8579627
310,muslim prayer times adelaide,1,56,1.79%,9.196428571
311,namaj time,1,45,2.22%,7.066666667
312,namaz e janaza dua for men,1,14,7.14%,5.285714286
313,namaz rabbana lakal hamd,1,3,33.33%,3
314,namaz taming,1,4,25.00%,11
315,namaz time hannover,1,116,0.86%,8.706896552
316,namaz time hk hanafi,1,10,10.00%,8.2
317,namaz time in cambodia sihanoukville,1,32,3.13%,6.21875
318,namaz time in mumbai today,1,2,50.00%,27.5
319,namaz time jaipur,1,306,0.33%,9.284313725
320,namaz time madrid,1,149,0.67%,10.98657718
321,namaz time nicosia,1,116,0.86%,5.810344828
322,namaz time regina,1,108,0.93%,8.722222222
323,namaz timing in lahore ahle sunnat,1,8,12.50%,65
324,namaz timing pune,1,13,7.69%,10.53846154
325,namaz timing quetta,1,20,5.00%,33.6
326,nazar ki dua in english,1,691,0.14%,7.358900145
327,new born baby dua,1,66,1.52%,9.03030303
328,new born baby dua in arabic,1,36,2.78%,8.138888889
329,new born dua,1,17,5.88%,8.764705882
330,olive oil ruqyah,1,5,20.00%,4.2
331,ottawa namaz,1,23,4.35%,5
332,powerful isme azam dua,1,102,0.98%,8.088235294
333,pray time,1,82,1.22%,14.2804878
334,pray time in malta,1,66,1.52%,5.848484848
335,prayer time,1,1532,0.07%,9.585509138
336,prayer time barcelona,1,74,1.35%,13.67567568
337,prayer time bhopal,1,159,0.63%,7.830188679
338,prayer time brisbane,1,116,0.86%,12.4137931
339,prayer time cebu,1,234,0.43%,8.465811966
340,prayer time guangzhou,1,173,0.58%,9.861271676
341,prayer time in guyana,1,312,0.32%,6.849358974
342,prayer time in kampala today,1,91,1.10%,10.02197802
343,ya badius samawati ya hayyu ya qayyum inni as aluka,1,12,8.33%,9.5
344,prayer time in salalah,1,99,1.01%,4.303030303
345,prayer time in ulaanbaatar,1,97,1.03%,8.360824742
346,prayer time indianapolis today,1,42,2.38%,6.833333333
347,prayer time klang,1,781,0.13%,7.702944942
348,prayer time kolhapur,1,31,3.23%,7.903225806
349,prayer time male,1,770,0.13%,10.3025974
350,prayer time pune,1,894,0.11%,8.002237136
351,prayer time salalah,1,564,0.18%,5.159574468
352,prayer time winnipeg,1,11,9.09%,12.27272727
353,prayer times,1,776,0.13%,10.55927835
354,prayer times baton rouge,1,287,0.35%,6.463414634
355,prayer times halifax hanafi,1,20,5.00%,9.75
356,prayer times in copenhagen today,1,58,1.72%,11.84482759
357,prayer times in kano,1,9,11.11%,10.44444444
358,prayer times nairobi today,1,115,0.87%,10.10434783
359,prayer times st john's,1,561,0.18%,6.258467023
360,prayers time sacramento,1,10,10.00%,11.6
361,pune prayer time,1,392,0.26%,7.260204082
362,qaddarallah,1,18,5.56%,6.888888889
363,qaddarallahu wa maa shaa' fa'al,1,12,8.33%,10.83333333
364,quetta namaz,1,3,33.33%,45.33333333
365,rabbana lakal hamd full,1,32,3.13%,3.9375
366,rabbana wa lakal hamd,1,406,0.25%,5.938423645
367,rabbana walakal hamd,1,326,0.31%,6.779141104
368,rabbana walakal hamd full dua,1,35,2.86%,3.885714286
369,rabbighfirli wa tub alayya innaka antat tawwabur rahim,1,85,1.18%,9.752941176
370,rabbir hamhuma kama rabbayani sagheera,1,19,5.26%,12.31578947
371,reply to yarhamukallah,1,30,3.33%,9.633333333
372,response to yarhamukallah,1,36,2.78%,10.5
373,ruku and sujood dua,1,47,2.13%,10.87234043
374,ruku ki dua in namaz,1,13,7.69%,7.615384615
375,ruqiya,1,1,100.00%,20
376,ruqiyah,1,4,25.00%,8.75
377,ruqya dua,1,136,0.74%,8.441176471
378,ruqya oil,1,12,8.33%,7.333333333
379,ruqya online,1,1,100.00%,31
380,ruqyah bath,1,13,7.69%,7.615384615
381,ruqyah dua download,1,1,100.00%,6
382,ruqyah dua in english,1,40,2.50%,9.85
383,ruqyah duas,1,33,3.03%,9.454545455
384,ruqyah for pregnancy,1,22,4.55%,7.090909091
385,ruqyah for skin problems,1,2,50.00%,10.5
386,ruqyah hijama,1,3,33.33%,11.33333333
387,ruqyah sihr,1,6,16.67%,5.666666667
388,ruqyah to remove sihr,1,8,12.50%,7.125
389,safa and marwa dua,1,55,1.82%,8.2
390,safa marwa dua in arabic,1,14,7.14%,8.428571429
391,safe journey dua in islam,1,2,50.00%,8
392,sakaka prayer time today,1,15,6.67%,8.8
393,salaat time mauritius,1,397,0.25%,5.005037783
394,salah time wakra,1,343,0.29%,7.294460641
395,salah times brisbane,1,231,0.43%,9.073593074
396,salah times windhoek,1,30,3.33%,6.833333333
397,salalah prayer time today,1,96,1.04%,6.635416667
398,salat time in accra,1,98,1.02%,7.255102041
399,prayer time in mauritius,1,114,0.88%,5.956140351
400,salatul istisqa,1,12,8.33%,13
401,senna and sanoot,1,17,5.88%,10.29411765
402,senna leaves islam,1,9,11.11%,9.666666667
403,shia prayer times london,1,6,16.67%,64.33333333
404,sidr leaves in islam,1,27,3.70%,11.2962963
405,sidr leaves ruqyah,1,7,14.29%,4.714285714
406,sidr ruqyah,1,15,6.67%,4.666666667
407,signs of sihr between husband and wife,1,13,7.69%,10.69230769
408,sihr al junoon symptoms,1,5,20.00%,3.6
409,sihr al khumul,1,11,9.09%,4.090909091
410,sihr al mahabba symptoms,1,4,25.00%,3.25
411,sihr al-hawatif,1,8,12.50%,1.75
412,sihr al-khumul,1,8,12.50%,4.125
413,sihr in stomach,1,5,20.00%,5.4
414,sihr of love symptoms,1,4,25.00%,6
415,subbuhun quddusun,1,137,0.73%,8.788321168
416,subbuhun quddusun rabbul-mala'ikati war-ruh hadith,1,64,1.56%,8.5
417,subhana rabbiyal adheem wa bihamdihi,1,7,14.29%,7.428571429
418,subhana rabbiyal azeem wa bihamdihi,1,91,1.10%,8.461538462
419,subhanal malikil quddus full dua,1,21,4.76%,6.761904762
420,subhanallah alhamdulillah allahu akbar,1,70,1.43%,10.25714286
421,subhanallah alhamdulillah allahu akbar la ilaha illallah,1,5,20.00%,7
422,subhanallah wa bihamdihi meaning,1,325,0.31%,10.81846154
423,subhanallahi wa bihamdihi full dua,1,20,5.00%,7.15
424,surah for victory over enemy,1,6,16.67%,10.5
425,surah ghafir dua,1,1,100.00%,7
426,symptoms of sihr,1,6,16.67%,12
427,tahajjud namaz time in ranchi,1,19,5.26%,8.473684211
428,tahajjud time jaipur,1,107,0.93%,7.102803738
429,tahiyatu lillahi wa salawatu,1,24,4.17%,6.333333333
430,tahiyatu lillahi wa salawatu full,1,15,6.67%,7.933333333
431,tammati,1,2,50.00%,6
432,today asar time,1,20,5.00%,8.7
433,today fajr time,1,92,1.09%,10.75
434,vremenski namaz skopje,1,27,3.70%,9.962962963
435,what to recite during safa marwah,1,3,33.33%,11.33333333
436,what to say at safa and marwa,1,18,5.56%,9.166666667
437,where is attahiyat in quran,1,1,100.00%,41
438,ya hau ya qayyum dua,1,5,20.00%,8.6
439,ya hayyu ya qayyum bi rahmatika astagheeth,1,92,1.09%,8.467391304
440,ya hayyu ya qayyum birahmatika astaghees benefits,1,78,1.28%,8.41025641
441,ya hayyu ya qayyum birahmatika astaghees full dua,1,69,1.45%,5.956521739
442,ya hayyu ya qayyum birahmatika astaghees hadith,1,11,9.09%,9.909090909
443,ya hayyu ya qayyum birahmatika astaghees in arabic,1,5,20.00%,6.6
444,ya hayyu ya qayyum birahmatika astaghees meaning,1,77,1.30%,9
445,yaa hayyu yaa qayyum,1,58,1.72%,8.982758621
446,yaa hayyu yaa qayyum dua,1,81,1.23%,4.901234568
447,yaa hayyu yaa qayyum meaning,1,4,25.00%,11.5
448,zamboanga prayer time today,1,38,2.63%,7.368421053
449,zawal time in ranchi today,1,4,25.00%,12
450,طريقة استخدام ورق السدر لعلاج السحر,1,8,12.50%,7.125
451,আসরের নামাজের সময়,1,12,8.33%,14.83333333
452,ঘর থেকে শয়তান তাড়ানোর দোয়া,1,54,1.85%,11.2962963
453,বিবাহের খুতবা ও দোয়া,1,5,20.00%,11.2
454,হাই উঠলে কি দোয়া পড়তে হয়,1,4,25.00%,10.5
455,salat time in kaduna,1,9,11.11%,10.44444444
456,"""girdle sensation"" ruqyah or sihr",0,1,0.00%,4
457,"""tightness around waist"" ruqyah or sihr or jinn",0,1,0.00%,8
458,#babydua latest,0,1,0.00%,18
459,#fajr latest,0,1,0.00%,20
460,#marriagedua,0,10,0.00%,4.1
461,.maghrib time today,0,10,0.00%,7.5
462,2nd attahiyat,0,1,0.00%,7
463,2nd jummah prayer time near me,0,1,0.00%,10
464,2nd takbeer namaz e janaza,0,1,0.00%,8
465,3 kul sura,0,4,0.00%,11
466,3 kul surah,0,5,0.00%,8.6
467,3 qul dua,0,3,0.00%,7.333333333
468,3 qul english,0,8,0.00%,6.5
469,3 qul meaning,0,2,0.00%,10.5
470,3 qul surah,0,63,0.00%,9.507936508
471,3 qul surahs,0,6,0.00%,8.833333333
472,3 qul surahs in english,0,2,0.00%,10
473,3 quls english,0,3,0.00%,6.333333333
474,3 quls english transliteration,0,1,0.00%,12
475,3 quls in english transliteration,0,2,0.00%,10.5
476,3asr prayer,0,2,0.00%,10.5
477,3asr prayer time,0,4,0.00%,11.5
478,3esha time,0,2,0.00%,12
479,3icha2 prayer time,0,1,0.00%,9
480,3qul,0,2,0.00%,6
481,4 takbeer namaz e janaza,0,3,0.00%,8.666666667
482,40 masnoon duain in urdu,0,1,0.00%,8
483,5 daily prayers times,0,9,0.00%,32.88888889
484,5 daily prayers times in nigeria,0,11,0.00%,11.54545455
485,5 islamic prayer times,0,3,0.00%,39.66666667
486,5 namaz ki timing,0,1,0.00%,8
487,5 namaz name and time,0,1,0.00%,13
488,5 namaz time,0,2,0.00%,9
489,5 prayer times,0,5,0.00%,8.4
490,5 prayer times today,0,1,0.00%,9
491,5 prayers time,0,2,0.00%,8
492,5 salah times,0,1,0.00%,11
493,5 time namaz,0,1,0.00%,49
494,5 times namaz timings in india,0,13,0.00%,38.30769231
495,5 times prayer time,0,2,0.00%,11.5
496,5 times prayer time in pakistan,0,1,0.00%,12
497,5 waqt azan ka time,0,1,0.00%,10
498,5 waqt namaz ka time table,0,1,0.00%,16
499,6th of october prayer times,0,1,0.00%,10
500,7 day ruqyah detox programme,0,6,0.00%,3.666666667
501,92.1 fm prayer times,0,1,0.00%,10
502,92.1 prayer times,0,10,0.00%,16.6
503,a auzubillah minashaitan nirajeem,0,5,0.00%,9.8
504,a dua that forgives all sins,0,3,0.00%,11.66666667
505,a inni,0,1,0.00%,9
506,a tahiyat,0,1,0.00%,9
507,a tahiyatu lillahi,0,10,0.00%,9.2
508,a tahiyatu lillahi wa salawatu,0,4,0.00%,6.25
509,a'inni ala zikrika,0,1,0.00%,6
510,a'oodhu bi kalimaat allah,0,1,0.00%,11
